"herdID","county","BCoVRes","BRSVRes","KlauvstatusRes","JurstatusRes","animalType","animalBreed","animalNumber"
2095,32,1,1,0,0,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",2
3994,55,0,0,0,0,"Ung Okse","Hereford",9
3586,55,0,0,0,0,"Kvigekalv 4-8 uker","Scottish Highland",2
3174,33,1,0,0,0,"Oksekalv 4-8 uker","Limousin",1
2079,11,1,0,0,0,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",5
3977,33,0,0,0,0,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",3
2137,40,0,0,0,0,"Ung Kvige","Hereford",7
2263,11,0,0,0,0,"Oksekalv 16-24 uker","Norsk Rødt Fe (NRF)",1
2679,33,0,0,1,0,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",6
2696,50,1,0,0,0,"Oksekalv 8-16 uker","Jersey",1
2737,32,0,0,1,0,"Ung Okse","Scottish Highland",1
2626,42,0,0,0,0,"Kvige","Hereford",2
2562,34,1,0,0,0,"Kvigekalv 24-42 uker","Krysning - kjøttfe",1
2982,46,0,0,0,0,"Ung Kvige","Gamle norske raser",3
3320,11,0,0,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",8
2456,33,0,0,0,0,"Oksekalv 8-16 uker","Limousin",1
3010,55,0,0,0,0,"Ung Okse","Scottish Highland",2
2942,34,0,1,1,0,"Ung Okse","Norsk Rødt Fe (NRF)",7
2315,55,0,0,0,0,"Kvige","Simmental",6
2297,34,0,0,0,1,"Kvigekalv 16-24 uker","Krysning - melkeraser",10
2907,46,0,0,0,0,"Kvigekalv 1-3 uker","Charolais",2
3128,11,0,1,0,0,"Oksekalv 4-8 uker","Scottish Highland",2
3394,40,0,0,0,0,"Oksekalv 24-42 uker","Holstein",8
2739,39,0,0,0,0,"Ku","Charolais",5
3056,11,1,1,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",1
3221,50,1,0,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",2
2197,50,0,1,0,0,"Kvigekalv 24-42 uker","Scottish Highland",1
2789,32,0,0,0,0,"Oksekalv 16-24 uker","Limousin",1
3653,42,0,0,0,0,"Oksekalv 16-24 uker","Aberdeen angus",5
2525,55,1,0,0,0,"Oksekalv 4-8 uker","Norsk Rødt Fe (NRF)",9
3622,32,0,1,0,0,"Oksekalv 16-24 uker","Holstein",4
3934,31,0,1,1,0,"Ung Okse","Gamle norske raser",1
2753,11,1,1,0,0,"Kvige","Holstein",3
2998,40,0,1,1,0,"Ung ku","Gamle norske raser",1
2117,11,0,0,0,0,"Ung Okse","Holstein",3
3536,56,0,0,0,0,"Kvigekalv 16-24 uker","Norsk Rødt Fe (NRF)",1
2174,11,0,0,0,0,"Kvigekalv 16-24 uker","Norsk Rødt Fe (NRF)",1
3217,32,0,0,0,0,"Kvigekalv 24-42 uker","Scottish Highland",1
2709,34,1,0,0,0,"Oksekalv 16-24 uker","Aberdeen angus",5
3362,11,0,0,1,0,"Ung Kvige","Aberdeen angus",7
3341,11,0,1,0,0,"Ung Kvige","Andre kjøttferaser",1
3694,50,0,0,1,0,"Ung Okse","Charolais",4
3346,31,1,0,1,0,"Oksekalv 8-16 uker","Holstein",6
2267,50,1,0,0,0,"Kvigekalv 4-8 uker","Gamle norske raser",8
2455,56,0,1,0,0,"Ung Okse","Norsk Rødt Fe (NRF)",4
2205,31,0,0,0,0,"Oksekalv 1-3 uker","Norsk Rødt Fe (NRF)",2
2009,50,0,1,0,0,"Kvigekalv 8-16 uker","Gamle norske raser",1
2865,46,0,0,0,0,"Kvigekalv 1-3 uker","Aberdeen angus",2
3464,34,0,0,0,0,"Kvigekalv 4-8 uker","Charolais",1
2327,50,0,1,0,0,"Kvigekalv 8-16 uker","Norsk Rødt Fe (NRF)",9
2529,55,0,1,0,0,"Oksekalv 8-16 uker","Scottish Highland",1
3413,46,1,1,1,0,"Ung Kvige","Jersey",1
3059,11,0,0,1,0,"Ung Okse","Holstein",9
3905,42,0,0,0,0,"Brukt Okse","Charolais",1
3340,18,0,1,1,0,"Ung Kvige","Norsk Rødt Fe (NRF)",10
3435,11,0,1,0,0,"Kvige","Limousin",2
2025,18,0,0,0,0,"Oksekalv 8-16 uker","Charolais",6
3171,15,0,0,0,0,"Ku","Norsk Rødt Fe (NRF)",1
3570,11,0,0,0,0,"Kvigekalv 4-8 uker","Andre kjøttferaser",4
2944,34,1,0,0,0,"Brukt Okse","Jersey",1
2782,31,1,0,0,0,"Oksekalv 24-42 uker","Norsk Rødt Fe (NRF)",4
3538,11,0,0,0,0,"Oksekalv 8-16 uker","Andre kjøttferaser",7
2037,39,0,1,0,0,"Kvigekalv 4-8 uker","Scottish Highland",5
3565,11,0,0,0,0,"Ung Kvige","Krysning - melkeraser",7
2596,42,0,0,1,0,"Kvige","Krysning - melkeraser",3
3027,40,0,0,1,1,"Oksekalv 8-16 uker","Gamle norske raser",2
2933,11,1,1,0,0,"Ung ku","Norsk Rødt Fe (NRF)",1
2077,42,0,0,0,0,"Kvige","Gamle norske raser",8
2714,34,0,1,0,0,"Ung Kvige","Scottish Highland",4
2718,50,0,0,0,0,"Ung Okse","Norsk Rødt Fe (NRF)",1
2476,11,0,1,0,0,"Kvigekalv 8-16 uker","Gamle norske raser",1
3283,34,0,1,0,0,"Oksekalv 4-8 uker","Krysning - melkeraser",5
3660,11,1,0,0,0,"Kvigekalv 4-8 uker","Andre kjøttferaser",6
2491,31,0,1,0,0,"Oksekalv 4-8 uker","Norsk Rødt Fe (NRF)",9
2366,39,1,0,0,0,"Kvige","Holstein",1
3712,33,0,0,0,0,"Kvigekalv 8-16 uker","Gamle norske raser",7
3727,34,0,1,0,0,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",1
3132,34,0,0,1,0,"Oksekalv 4-8 uker","Holstein",2
3641,46,0,0,0,1,"Kvigekalv 8-16 uker","Limousin",1
2642,42,0,0,0,0,"Kvigekalv 8-16 uker","Limousin",3
2184,31,0,0,0,0,"Ung Okse","Limousin",3
2771,42,0,0,0,0,"Oksekalv 4-8 uker","Hereford",2
2807,32,1,0,0,0,"Kvige","Jersey",2
2541,33,0,0,0,0,"Kvigekalv 16-24 uker","Scottish Highland",1
2610,11,0,0,0,1,"Ung Okse","Norsk Rødt Fe (NRF)",10
2962,33,0,1,0,0,"Brukt Okse","Norsk Rødt Fe (NRF)",8
2435,11,0,1,0,0,"Kvigekalv 1-3 uker","Norsk Rødt Fe (NRF)",2
3123,33,1,0,0,0,"Kvige","Simmental",10
3045,33,0,0,1,0,"Oksekalv 1-3 uker","Norsk Rødt Fe (NRF)",1
3736,50,0,0,0,0,"Kvigekalv 24-42 uker","Krysning - kjøttfe",7
2016,33,0,0,0,0,"Kvigekalv 4-8 uker","Norsk Rødt Fe (NRF)",8
3911,40,0,0,0,0,"Ung Okse","Holstein",1
3536,56,0,0,0,0,"Ung Okse","Norsk Rødt Fe (NRF)",2
2358,34,0,0,1,0,"Kvige","Andre kjøttferaser",2
2832,42,0,0,0,0,"Kvigekalv 8-16 uker","Gamle norske raser",1
3910,11,1,0,0,0,"Oksekalv 4-8 uker","Holstein",1
3978,31,1,0,0,0,"Kvigekalv 4-8 uker","Aberdeen angus",5
2305,31,0,0,0,0,"Kvigekalv 16-24 uker","Norsk Rødt Fe (NRF)",1
2178,46,0,1,0,1,"Ung Okse","Gamle norske raser",1
2938,34,0,1,0,0,"Kvigekalv 8-16 uker","Norsk Rødt Fe (NRF)",2
3353,50,0,0,0,1,"Ung ku","Norsk Rødt Fe (NRF)",4
3977,33,0,0,0,0,"Ung ku","Norsk Rødt Fe (NRF)",1
3215,42,0,0,0,1,"Kvige","Norsk Rødt Fe (NRF)",1
3107,56,0,1,0,1,"Kvigekalv 16-24 uker","Hereford",2
3843,11,1,0,0,0,"Kvigekalv 8-16 uker","Norsk Rødt Fe (NRF)",2
3999,11,0,1,0,0,"Ung ku","Andre kjøttferaser",8
3113,11,0,0,0,1,"Ku","Andre kjøttferaser",2
2745,11,0,0,0,0,"Ku","Scottish Highland",6
3754,11,1,0,0,0,"Kvigekalv 4-8 uker","Norsk Rødt Fe (NRF)",1
2622,34,0,0,0,0,"Kvigekalv 24-42 uker","Norsk Rødt Fe (NRF)",3
2112,11,0,1,0,0,"Oksekalv 8-16 uker","Holstein",3
2831,55,0,0,0,0,"Ung Okse","Norsk Rødt Fe (NRF)",1
2267,50,1,0,0,0,"Oksekalv 4-8 uker","Gamle norske raser",8
3826,32,0,0,1,0,"Kvigekalv 1-3 uker","Norsk Rødt Fe (NRF)",2
3314,18,0,0,0,0,"Kvigekalv 4-8 uker","Jersey",1
2233,32,1,0,0,0,"Kvigekalv 8-16 uker","Aberdeen angus",4
3550,11,0,0,0,0,"Kvigekalv 8-16 uker","Holstein",5
2806,50,0,0,0,0,"Kvigekalv 1-3 uker","Gamle norske raser",5
2408,11,0,1,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",4
3301,55,0,1,0,1,"Oksekalv 24-42 uker","Jersey",3
3558,15,0,1,0,0,"Oksekalv 8-16 uker","Charolais",1
3487,11,0,0,1,0,"Kvigekalv 4-8 uker","Norsk Rødt Fe (NRF)",1
3832,32,1,0,0,0,"Brukt Okse","Hereford",1
3949,34,0,1,0,0,"Ung Kvige","Holstein",1
3119,50,0,0,0,0,"Ung ku","Jersey",8
3232,42,0,1,0,0,"Kvigekalv 4-8 uker","Holstein",1
3288,31,0,0,0,0,"Oksekalv 4-8 uker","Norsk Rødt Fe (NRF)",10
3198,50,0,0,0,0,"Kvigekalv 16-24 uker","Scottish Highland",2
2315,55,0,0,0,0,"Ung Okse","Simmental",1
3155,32,0,0,0,0,"Kvigekalv 16-24 uker","Norsk Rødt Fe (NRF)",3
3089,39,0,0,0,1,"Kvige","Andre kjøttferaser",1
3126,18,0,1,0,1,"Kvigekalv 16-24 uker","Hereford",3
2458,39,1,1,0,0,"Oksekalv 4-8 uker","Krysning - melkeraser",1
3268,15,0,0,0,0,"Kvigekalv 16-24 uker","Krysning - melkeraser",6
3061,11,0,0,1,0,"Ung Kvige","Hereford",4
2888,11,0,0,0,0,"Kvigekalv 4-8 uker","Scottish Highland",1
2486,11,0,0,0,0,"Ku","Hereford",1
2671,50,0,0,0,1,"Ung Kvige","Aberdeen angus",2
2717,50,0,1,0,0,"Oksekalv 4-8 uker","Norsk Rødt Fe (NRF)",1
2969,50,0,1,0,0,"Kvigekalv 16-24 uker","Scottish Highland",7
3432,34,0,0,0,0,"Kvigekalv 24-42 uker","Norsk Rødt Fe (NRF)",1
3098,32,0,1,0,0,"Kvige","Holstein",2
3752,56,0,0,0,0,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",8
2256,42,0,0,0,0,"Ung Okse","Andre kjøttferaser",2
3654,56,0,1,0,0,"Kvigekalv 8-16 uker","Jersey",1
3742,33,0,0,0,0,"Oksekalv 8-16 uker","Holstein",1
3764,56,0,0,0,0,"Oksekalv 4-8 uker","Andre kjøttferaser",2
2053,34,0,0,0,0,"Kvige","Holstein",1
2698,34,0,1,0,0,"Ung Kvige","Simmental",1
3591,34,0,1,0,0,"Oksekalv 16-24 uker","Hereford",4
3735,55,0,1,0,0,"Kvigekalv 4-8 uker","Gamle norske raser",1
3403,32,0,1,0,0,"Kvigekalv 1-3 uker","Norsk Rødt Fe (NRF)",1
2458,39,1,1,0,0,"Kvigekalv 24-42 uker","Krysning - melkeraser",9
2026,11,0,0,0,0,"Ung ku","Scottish Highland",3
3095,33,0,0,0,1,"Ung Okse","Andre kjøttferaser",1
3524,46,0,0,0,0,"Oksekalv 16-24 uker","Gamle norske raser",9
3444,11,1,0,0,0,"Ung ku","Hereford",7
3978,31,1,0,0,0,"Kvigekalv 8-16 uker","Aberdeen angus",10
2289,31,0,1,0,0,"Oksekalv 24-42 uker","Norsk Rødt Fe (NRF)",4
2315,55,0,0,0,0,"Kvigekalv 16-24 uker","Simmental",2
3839,34,0,0,0,0,"Kvigekalv 24-42 uker","Andre kjøttferaser",3
2266,40,0,0,0,0,"Ku","Scottish Highland",6
2647,42,0,0,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",6
2307,55,0,0,0,0,"Oksekalv 8-16 uker","Andre kjøttferaser",5
2579,42,0,0,0,0,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",1
2849,15,0,0,0,0,"Oksekalv 8-16 uker","Holstein",1
3300,50,0,0,0,0,"Brukt Okse","Norsk Rødt Fe (NRF)",1
3592,50,1,1,0,0,"Ung Okse","Gamle norske raser",1
3438,11,0,0,0,0,"Ung Okse","Krysning - kjøttfe",2
2223,33,0,0,0,0,"Oksekalv 16-24 uker","Holstein",10
2343,55,0,1,0,1,"Kvigekalv 16-24 uker","Norsk Rødt Fe (NRF)",3
3779,50,0,1,0,0,"Kvigekalv 4-8 uker","Norsk Rødt Fe (NRF)",4
3777,50,0,1,0,0,"Ung Okse","Norsk Rødt Fe (NRF)",1
3462,34,0,0,0,0,"Kvige","Charolais",2
2224,56,0,0,0,0,"Kvigekalv 4-8 uker","Gamle norske raser",2
3140,39,0,1,0,0,"Kvige","Holstein",6
3996,56,0,0,0,0,"Ku","Jersey",4
3500,18,1,0,0,0,"Ung Kvige","Aberdeen angus",4
3168,18,0,1,0,0,"Kvigekalv 16-24 uker","Gamle norske raser",1
3678,50,0,0,0,0,"Kvigekalv 4-8 uker","Holstein",2
2652,40,0,0,1,0,"Ung Okse","Krysning - melkeraser",2
3078,55,0,0,0,0,"Kvige","Norsk Rødt Fe (NRF)",1
3815,46,1,0,0,0,"Ung Okse","Holstein",2
2435,11,0,1,0,0,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",4
2777,33,0,1,0,0,"Kvigekalv 1-3 uker","Scottish Highland",1
2470,40,0,0,0,0,"Brukt Okse","Charolais",1
2355,55,0,1,0,0,"Kvigekalv 4-8 uker","Limousin",5
3824,50,0,1,1,1,"Ung Okse","Holstein",1
2710,34,0,0,0,0,"Brukt Okse","Holstein",1
2217,42,0,1,0,1,"Oksekalv 1-3 uker","Holstein",1
3263,50,0,0,0,0,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",3
2715,42,1,0,0,0,"Oksekalv 8-16 uker","Holstein",1
3995,50,0,1,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",4
2039,50,0,0,0,0,"Ung Kvige","Charolais",4
2072,55,1,1,0,0,"Kvigekalv 8-16 uker","Holstein",2
3201,11,1,1,0,0,"Oksekalv 24-42 uker","Holstein",1
3909,15,1,1,0,0,"Kvige","Norsk Rødt Fe (NRF)",1
3526,46,0,1,0,1,"Kvige","Norsk Rødt Fe (NRF)",1
3140,39,0,1,0,0,"Ung ku","Holstein",1
2617,33,0,0,0,0,"Oksekalv 16-24 uker","Holstein",1
2391,34,0,1,0,0,"Kvigekalv 4-8 uker","Norsk Rødt Fe (NRF)",1
2861,3,0,0,0,0,"Kvigekalv 4-8 uker","Krysning - kjøttfe",3
2035,50,0,0,0,0,"Brukt Okse","Hereford",1
3802,11,1,0,0,0,"Ung ku","Charolais",3
2177,46,0,1,0,1,"Ung Kvige","Norsk Rødt Fe (NRF)",1
2118,42,0,0,0,1,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",2
2675,11,0,0,0,0,"Kvigekalv 16-24 uker","Limousin",1
3187,42,0,1,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",1
2514,39,1,1,0,1,"Brukt Okse","Limousin",2
2241,32,0,1,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",1
3150,32,0,0,0,0,"Ung Okse","Simmental",3
2151,34,0,0,0,0,"Oksekalv 8-16 uker","Scottish Highland",1
2456,33,0,0,0,0,"Oksekalv 4-8 uker","Limousin",6
3037,31,0,0,0,0,"Kvige","Jersey",2
2478,33,1,0,0,1,"Brukt Okse","Krysning - melkeraser",3
2524,34,0,1,0,0,"Kvigekalv 8-16 uker","Norsk Rødt Fe (NRF)",2
3542,55,1,0,0,0,"Kvigekalv 8-16 uker","Norsk Rødt Fe (NRF)",2
3409,46,0,0,0,0,"Kvigekalv 4-8 uker","Jersey",1
3331,11,0,0,0,0,"Kvigekalv 8-16 uker","Aberdeen angus",2
2084,50,0,0,1,0,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",1
2542,55,0,1,0,0,"Kvigekalv 8-16 uker","Hereford",2
3172,50,0,0,0,0,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",1
3876,31,0,0,1,0,"Ung Kvige","Andre kjøttferaser",5
2678,18,0,1,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",5
3425,50,0,0,0,0,"Ung Kvige","Scottish Highland",4
3433,39,0,0,0,0,"Kvigekalv 16-24 uker","Andre kjøttferaser",2
2318,55,0,0,1,0,"Ung Kvige","Charolais",9
2908,42,0,1,0,0,"Oksekalv 16-24 uker","Norsk Rødt Fe (NRF)",3
3728,55,1,0,0,0,"Kvigekalv 1-3 uker","Norsk Rødt Fe (NRF)",9
3240,39,1,0,0,0,"Ung Okse","Simmental",8
3302,40,0,1,0,0,"Kvigekalv 16-24 uker","Holstein",1
2904,50,0,0,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",10
2024,11,0,1,0,0,"Kvige","Holstein",1
3919,33,0,0,0,0,"Oksekalv 4-8 uker","Norsk Rødt Fe (NRF)",3
2332,31,0,1,1,0,"Kvigekalv 24-42 uker","Holstein",1
2097,15,0,0,0,0,"Ung Kvige","Hereford",9
2791,50,0,1,0,1,"Kvigekalv 16-24 uker","Scottish Highland",4
3403,32,0,1,0,0,"Kvigekalv 1-3 uker","Norsk Rødt Fe (NRF)",3
2712,50,0,0,0,0,"Kvigekalv 1-3 uker","Gamle norske raser",1
2218,55,0,0,0,0,"Kvigekalv 8-16 uker","Hereford",1
2306,18,0,1,0,0,"Kvige","Scottish Highland",1
2311,56,0,0,0,0,"Ung Okse","Norsk Rødt Fe (NRF)",2
2265,32,0,0,0,0,"Kvigekalv 4-8 uker","Norsk Rødt Fe (NRF)",2
3970,42,0,0,0,0,"Kvige","Norsk Rødt Fe (NRF)",7
2435,11,0,1,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",1
2298,39,1,1,0,0,"Kvige","Andre kjøttferaser",5
2792,11,0,0,0,0,"Oksekalv 16-24 uker","Norsk Rødt Fe (NRF)",1
2746,40,0,0,0,0,"Oksekalv 4-8 uker","Andre kjøttferaser",1
3796,46,0,1,0,0,"Kvigekalv 4-8 uker","Holstein",9
3589,11,0,1,0,0,"Kvigekalv 16-24 uker","Gamle norske raser",2
3014,50,0,1,0,0,"Kvigekalv 4-8 uker","Charolais",3
2616,34,0,0,0,0,"Oksekalv 8-16 uker","Scottish Highland",10
3937,33,1,1,0,0,"Oksekalv 24-42 uker","Holstein",8
3270,56,0,1,0,0,"Kvige","Holstein",1
3918,46,0,0,1,0,"Oksekalv 16-24 uker","Norsk Rødt Fe (NRF)",2
2791,50,0,1,0,1,"Oksekalv 1-3 uker","Scottish Highland",5
3906,34,0,1,0,0,"Kvigekalv 8-16 uker","Holstein",9
3553,11,0,1,0,0,"Ung Kvige","Jersey",1
3508,11,0,0,0,0,"Kvige","Norsk Rødt Fe (NRF)",7
2850,55,0,0,1,0,"Kvigekalv 16-24 uker","Norsk Rødt Fe (NRF)",1
2579,42,0,0,0,0,"Ku","Norsk Rødt Fe (NRF)",8
3848,11,0,0,0,0,"Kvige","Limousin",2
2675,11,0,0,0,0,"Oksekalv 8-16 uker","Limousin",3
2619,34,0,0,0,0,"Oksekalv 4-8 uker","Andre kjøttferaser",1
3853,42,0,0,0,0,"Oksekalv 1-3 uker","Scottish Highland",2
3655,46,1,0,0,0,"Kvige","Gamle norske raser",10
3657,50,1,1,0,0,"Kvigekalv 16-24 uker","Norsk Rødt Fe (NRF)",1
3498,39,0,1,0,0,"Kvigekalv 4-8 uker","Charolais",3
3047,11,0,0,1,0,"Kvigekalv 8-16 uker","Holstein",1
3616,11,0,0,0,0,"Kvigekalv 4-8 uker","Norsk Rødt Fe (NRF)",3
2198,42,0,1,0,0,"Oksekalv 16-24 uker","Holstein",6
2357,50,0,0,0,0,"Kvigekalv 4-8 uker","Norsk Rødt Fe (NRF)",2
2654,40,0,1,0,0,"Kvigekalv 8-16 uker","Jersey",1
2837,42,0,1,0,0,"Kvigekalv 4-8 uker","Andre kjøttferaser",1
3070,11,0,1,0,0,"Oksekalv 8-16 uker","Norsk Rødt Fe (NRF)",1
3339,50,1,0,0,0,"Oksekalv 8-16 uker","Krysning - melkeraser",1
3576,11,1,1,0,0,"Kvige","Hereford",4
3586,55,0,0,0,0,"Kvigekalv 24-42 uker","Scottish Highland",1
2800,40,0,1,0,0,"Ung Kvige","Norsk Rødt Fe (NRF)",6
2790,11,0,0,1,0,"Kvige","Scottish Highland",3
2004,50,0,0,0,1,"Kvige","Hereford",7
3140,39,0,1,0,0,"Kvigekalv 8-16 uker","Holstein",1
3052,55,0,0,0,0,"Kvige","Scottish Highland",2
2061,32,0,0,0,0,"Kvigekalv 24-42 uker","Simmental",2
3327,15,0,0,1,0,"Oksekalv 8-16 uker","Jersey",1
3052,55,0,0,0,0,"Oksekalv 4-8 uker","Scottish Highland",8
2005,31,0,0,0,0,"Oksekalv 16-24 uker","Aberdeen angus",3
2785,34,0,0,1,0,"Oksekalv 4-8 uker","Andre kjøttferaser",5
2772,46,0,0,0,0,"Oksekalv 16-24 uker","Norsk Rødt Fe (NRF)",1
